"calc1","vetorial","lpt","p1","ic","lp1","calc2","md","p2","classica","lp2","grafos","cra"
8.5,7.5,9,7.8,7.8,7.4,NA,5.8,7.9,7.6,7.1,8.1,7.58265060240964
5,5.6,9.2,7.3,7.1,7,NA,9.1,9.5,7.3,7.7,8.6,7.79879518072289
8.1,8.3,9,7.8,7.9,8.2,5,8.5,9,7.3,9.2,7.8,8.21379310344828
NA,8.5,NA,NA,NA,NA,5,NA,NA,7,NA,8.1,7.79333333333333
5.4,6.4,6.5,6,5.8,8,NA,6.7,5.6,7,7.2,5.2,7.01058823529412
8.7,9.5,9.5,8.6,9.3,8.9,NA,7.6,9.2,8.1,9.3,9.3,8.81481481481481
5.7,7,7.5,7,7.7,6.4,NA,5.4,7.2,5,7.3,5,5.95504587155963
8.1,10,10,9,9,9.4,NA,6.8,9.7,7.7,9.7,7,7.88072289156627
7.7,8.2,9.3,7.9,8.5,9.5,NA,8,8,8.1,9.7,7,8.60617283950617
7.2,7.7,9,7,7.9,8.8,NA,5.3,6,7,8.9,7.5,7.37752808988764
NA,8.3,NA,NA,NA,NA,7.2,NA,NA,5.3,NA,8.4,7.93880597014925
7.3,5,9,9.2,7.4,9.4,7,6.3,7.4,7,8.9,7.4,7.34
6.2,7.7,8.3,9.7,7.6,8.2,NA,6.1,5.1,6.4,6.3,6.2,6.2781914893617
7.1,9.2,8.3,8.9,9.8,8.6,NA,9.8,8.7,7.5,8.5,7.2,8.95432098765432
7,9,7,5.7,8.6,7.6,NA,7.8,5.8,6.4,8.2,7.8,7.88024691358025
7.9,7.2,8,8.7,8.8,9.1,NA,9,8.7,8.5,8,8.2,7.99882352941176
6.8,7.3,NA,NA,NA,NA,NA,NA,NA,7.6,NA,8.1,5.33539325842697
8.3,8.3,9.3,7.3,7.8,8.3,NA,8.4,9.1,8.2,9,8.7,8.30864197530864
7.6,10,7.4,8.6,8.8,8,NA,8,7.2,5.5,8.9,7,8.10493827160494
5.1,7.5,6.8,7,8.6,7.6,NA,8.1,8.8,5.2,9.5,8.5,7.12168674698795
NA,6.7,NA,NA,NA,NA,NA,7,8.4,7.7,8.2,8.8,6.50352941176471
7.7,7.5,8.3,7.5,7.9,9,NA,7.3,7.6,8.1,8.7,8.8,8.07530864197531
5,5.6,6.4,5.3,8,8.1,NA,8.4,7,7.1,9.2,8.9,6.96592592592593
6.3,8.9,7.3,7.7,9,7.5,NA,7,5.4,5.6,8.2,7,6.3221052631579
8.5,8.7,7.6,6.9,8.4,6.2,NA,8.1,7,7.1,8.8,7,7.87951807228916
7.2,7.5,8.6,8.4,8.1,8.1,NA,8.7,7.8,6.6,8.8,7,7.94074074074074
7.3,5.1,7,8.8,9.3,9.1,NA,6,9.1,9,8.8,7,7.39404761904762
7.3,7.6,7.7,7.4,8,7,NA,5.3,8.7,7,8.2,5.2,6.95411764705882
7.2,8.2,9.1,6.2,7.1,9.3,NA,5.3,6.4,7.7,9.6,8.3,7.94938271604938
