"ALU_NOVAMATRICULA","ALU_ANO_EVASA","ALU_PERIODO_EVASAO","MAT_TUR_DIS_DISCIPLINA","DISCIPLINA","CREDITOS","MAT_MEDIA_FINAL"
"2559cbb56d6bd9ae2a9a79faf9b917d2",2015,1,1109113,"Matemática Discreta",4,7
"2559cbb56d6bd9ae2a9a79faf9b917d2",2015,1,1411168,"Programação II",4,8
"2559cbb56d6bd9ae2a9a79faf9b917d2",2015,1,1411170,"Teoria dos Grafos",2,8
"2559cbb56d6bd9ae2a9a79faf9b917d2",2015,1,1411181,"Laboratório de Programação II",4,8.3
"cf4d342dfb80192363d47a1cc899cc91",2015,1,1109035,"Álgebra Vetorial e Geometria Analítica",4,6.9
"cf4d342dfb80192363d47a1cc899cc91",2015,1,1109103,"Cálculo Diferencial e Integral I",4,7.2
"cf4d342dfb80192363d47a1cc899cc91",2015,1,1411167,"Programação I",4,8.2
"cf4d342dfb80192363d47a1cc899cc91",2015,1,1411174,"Introdução à Computação",4,8.7
"cf4d342dfb80192363d47a1cc899cc91",2015,1,1411180,"Laboratório de Programação I",4,8.4
"cf4d342dfb80192363d47a1cc899cc91",2015,1,1108089,"Fundamentos de Física Clássica",4,8.8
"cf4d342dfb80192363d47a1cc899cc91",2015,1,1109053,"Cálculo Diferencial e Integral II",4,1.7
"cf4d342dfb80192363d47a1cc899cc91",2015,1,1411168,"Programação II",4,8.5
"cf4d342dfb80192363d47a1cc899cc91",2015,1,1411170,"Teoria dos Grafos",2,8
"cf4d342dfb80192363d47a1cc899cc91",2015,1,1411181,"Laboratório de Programação II",4,7.6
"cf4d342dfb80192363d47a1cc899cc91",2015,1,1307151,"Leitura e Produção de Textos",4,7.8
"cf4d342dfb80192363d47a1cc899cc91",2015,1,1109113,"Matemática Discreta",4,7.7
"cf4d342dfb80192363d47a1cc899cc91",2015,1,1109053,"Cálculo Diferencial e Integral II",4,1.7
"cf4d342dfb80192363d47a1cc899cc91",2015,1,1109053,"Cálculo Diferencial e Integral II",4,5.1
"3caa5321f6a5544a6b8e66d6a0c89742",2015,1,1109035,"Álgebra Vetorial e Geometria Analítica",4,7.6
"3caa5321f6a5544a6b8e66d6a0c89742",2015,1,1109103,"Cálculo Diferencial e Integral I",4,8.9
"3caa5321f6a5544a6b8e66d6a0c89742",2015,1,1411167,"Programação I",4,8.3
"3caa5321f6a5544a6b8e66d6a0c89742",2015,1,1411174,"Introdução à Computação",4,9.8
"3caa5321f6a5544a6b8e66d6a0c89742",2015,1,1411180,"Laboratório de Programação I",4,8.8
"3caa5321f6a5544a6b8e66d6a0c89742",2015,1,1307151,"Leitura e Produção de Textos",4,5.4
"3caa5321f6a5544a6b8e66d6a0c89742",2015,1,1108089,"Fundamentos de Física Clássica",4,7.4
"3caa5321f6a5544a6b8e66d6a0c89742",2015,1,1109053,"Cálculo Diferencial e Integral II",4,7
"3caa5321f6a5544a6b8e66d6a0c89742",2015,1,1109113,"Matemática Discreta",4,8.9
"3caa5321f6a5544a6b8e66d6a0c89742",2015,1,1411168,"Programação II",4,8.8
"3caa5321f6a5544a6b8e66d6a0c89742",2015,1,1411170,"Teoria dos Grafos",2,8.8
"3caa5321f6a5544a6b8e66d6a0c89742",2015,1,1411181,"Laboratório de Programação II",4,8.3
"3709ecb4267fcfc3dd7c9b947b85768e",2015,1,1109035,"Álgebra Vetorial e Geometria Analítica",4,8.8
"3709ecb4267fcfc3dd7c9b947b85768e",2015,1,1109103,"Cálculo Diferencial e Integral I",4,3.2
"3709ecb4267fcfc3dd7c9b947b85768e",2015,1,1411167,"Programação I",4,5.1
"3709ecb4267fcfc3dd7c9b947b85768e",2015,1,1411174,"Introdução à Computação",4,7.1
"3709ecb4267fcfc3dd7c9b947b85768e",2015,1,1411180,"Laboratório de Programação I",4,5.1
